Ville;POMMES DE TERRE ;TOMATES ;OIGNONS;AILS ;MELONS PASTEQUES ;CAROTTES;PIMENTS ;POIVRONS ;CONCOMBRES;COURGETTES ;AUBERGINES ;ARTICHAUTS;CHOUX VERTS ;CHOUX FLEURS ;NAVETS;FEVES VERTES ;HARICOTS VERTS ;PETITS POIS;AUTRES LEGUMES;Total;BLE DUR ;BLE TENDRE;ORGE ;AVOINE;TRITICALE ;Mais;Sorgho;Tomates indus;Tabac;Arachides;Autres;Feves feveroles;Pois secs;Lentilles;Pois chiches;Haricots secs;Gesses & guerfalas
11 TAMANRASSET;153.9;202.5;196.3;61.6;223.7;132.7;160;158.6;148.2;163.2;137.6;0;0;47.5;140.5;56.2;275.6;0;147.4;188.2;23.8;23.8;20.4;17.7;0;0;0;201.2;0;0;0;0;0;0;0;0;0
12 TEBESSA;475;121.5;206.7;129.3;375.6;243.5;108.9;113.6;123.7;122.8;80;0;0;0;218;100;28;116.3;83.6;390.8;15.2;12.3;13.7;0;0;0;0;0;0;0;0;0;0;7;10;0;0
13 TLEMCEN;314.3;710.4;273.1;65.9;343.8;167.2;100;250;551.3;500;141.2;0;288.9;155.1;124.2;88.8;74.3;95.8;258.2;251.6;11.5;9.8;10.5;12;0;0;0;0;0;0;0;15;15;14.1;13;11;0
14 TIARET;359.1;300;565.1;144.6;334;165.2;250;280;390;176;320;0;0;200;114.7;80;50;80;271.3;394.3;15.5;9.5;9.9;10.2;33.6;0;0;0;0;0;0;0;0;6.8;7.2;0;0
15 TIZI-OUZOU;306;286.6;139.5;63.2;331.2;234.5;167.3;149.1;268.1;215.8;256.9;0;374.4;288.7;177.1;84;79.8;62.5;127.8;193;20.5;26.7;16.8;16.5;0;0;0;0;0;0;0;15.2;14.3;12.7;14;14.5;0
16 ALGER;394.9;552.1;241;0;453.5;263.3;242.5;284.9;927.3;293.6;293.1;189.8;255.1;240.9;224;118.5;77.6;70.8;163.2;247.7;32.9;26;19.8;0;0;0;0;0;0;0;0;0;0;0;25.9;0;0
17 DJELFA;285.9;147.4;385;77.2;187.5;165.5;66.2;77.1;53.8;116.9;90;0;92.9;118.6;131.6;67.7;60;52;111.3;264.9;22.7;30;11.5;18;0;0;0;400;0;0;0;0;0;0;0;0;0
18 JIJEL;296.4;628.6;351.3;43.4;279.5;177.2;626.8;647.4;784.8;281.1;348.8;96.9;489.3;358.6;227.8;135.7;118;90.8;221.7;321;27.2;0;20.1;0;0;160.9;0;284.5;0;0;17.4;16.2;0;0;15.1;13.3;0
19 SETIF;281.1;334.5;218.8;64.7;267.5;153.8;673.5;639.9;954.6;194.2;143.6;0;270;238.3;185.5;106.7;82.3;58.6;142.2;256.9;18.1;17.8;18.2;16.7;1;0;0;0;26.1;0;0;13.2;10.2;5.3;7.5;0;0
20 SAIDA;295.1;448.3;438.2;79.9;397.2;388.2;217.8;250.2;0;372.7;322.2;0;0;0;348.8;175.7;96.5;71.2;332;338.5;13.2;7.8;7.4;9.9;0;0;0;0;0;0;0;16;12;6.5;11.9;0;0
